Geological Group ID,ensemble_model_score_median,ensemble_model_score_q25,ensemble_model_score_q75,ensemble_model_score_mad,model_score_sd_median,model_score_iqr_median,source_overlap_fraction,record_count,ensemble_model_score_iqr,percentile_among_stable_groups,relative_location_between_stable_class_medians
GG0011,0.07430383563041687,0.006686866749078035,0.4660763442516327,0.07118392083793879,0.10809901447446482,0.14542150730267167,0.0,30,0.45938947750255466,51.63934426229508,0.09118880211629765
GG0017,0.052130889147520065,0.021062255837023258,0.11698446422815323,0.03979048877954483,0.07689410351292139,0.07979657128453255,0.8,15,0.09592220839112997,48.36065573770492,0.05564800290665223
GG0021,0.7503253817558289,0.3688082993030548,0.9037117958068848,0.2138260006904602,0.13222526846866678,0.17062848806381226,0.8,129,0.53490349650383,90.16393442622952,1.1747771312889739
GG0022,0.3694988787174225,0.1840449906885624,0.687713235616684,0.2551475614309311,0.18152160139199774,0.24224810674786568,0.0,18,0.5036682449281216,74.59016393442623,0.5643540515850831
GG0033,0.11486977338790894,0.039977043867111206,0.37497448921203613,0.10510349180549383,0.11298233462875987,0.1034696102142334,0.0,69,0.3349974453449249,57.37704918032787,0.15621154727567899
