Record ID,Geological Group ID,CV Block ID,target,model_score,score_type,prediction,threshold,threshold_status,repeat,outer_fold,model,parameter_hash,analysis_protocol_hash,optimizer_converged,optimizer_iterations,optimizer_fit_cycles
R0352,GG0054,CVB0050,1,0.5610963423929075,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0353,GG0054,CVB0050,1,0.6157495041363746,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0354,GG0054,CVB0050,1,0.6598088987848165,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0355,GG0054,CVB0050,1,0.5961415982645941,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0356,GG0054,CVB0050,1,0.5079457490098389,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0357,GG0054,CVB0050,1,0.36583000063564064,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0358,GG0054,CVB0050,1,0.605827694788457,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0359,GG0054,CVB0050,1,0.9532669610258548,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0703,GG0012,CVB0012,1,0.15506631617187297,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0704,GG0012,CVB0012,1,0.06473722172034191,predict_proba,0,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
