Geological Group ID,target,target_nunique,cv_block,model_score,model_score_mean_sensitivity,record_count,prediction,score_type,threshold,threshold_status,repeat,outer_fold,model,parameter_hash,analysis_protocol_hash,optimizer_converged,optimizer_iterations,optimizer_fit_cycles
GG0096,0,1,CVB0092,0.7409746108033509,0.7422077616399322,9,1,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0101,0,1,CVB0097,0.0,5.441584589432443e-05,5,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0106,0,1,CVB0102,0.06341432635988836,0.1128438657532948,24,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0110,0,1,CVB0106,0.016962612202305213,0.02898644612492242,13,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0115,0,1,CVB0111,0.13469998610722364,0.13388817938110648,23,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0120,0,1,CVB0116,0.03445490333197797,0.11800090971329383,16,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0124,0,1,CVB0120,0.3156160526046229,0.2653826335576073,9,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0128,0,1,CVB0124,0.22013314627048844,0.1569574681521714,5,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0012,1,1,CVB0012,0.18601964345703176,0.19505418493548668,28,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0019,0,1,CVB0017,0.20725698843347165,0.19907238277313477,5,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0023,0,1,CVB0020,0.2766425740302274,0.3297639986051422,38,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0029,0,1,CVB0026,0.2406200608641235,0.3277241488800753,7,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0030,0,1,CVB0027,0.18851776260719724,0.21195479431028785,59,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0037,0,1,CVB0034,0.3188364821492443,0.31248502060848543,6,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0041,1,1,CVB0038,0.6187910052752521,0.6929109101394657,21,1,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0048,1,1,CVB0044,0.17835227395295059,0.17868271314566203,4,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0054,1,1,CVB0050,0.6345819169435184,0.6004128387335109,21,1,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0059,1,1,CVB0055,0.5197654361510866,0.4905969481792285,15,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0064,1,1,CVB0060,0.6127100776357451,0.5925776020257842,5,1,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0071,0,1,CVB0067,0.48530898944113615,0.48208321396865,14,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0074,0,1,CVB0070,0.29543658317152655,0.29891929679449414,8,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0081,0,1,CVB0077,0.32392534843847404,0.3130457027328707,5,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0084,0,1,CVB0080,0.16833056703624505,0.18543560092368722,4,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0089,0,1,CVB0085,0.1595198435064392,0.16519633403214234,7,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0096,0,1,CVB0092,0.7252393935215397,0.7002259607027274,9,1,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0101,0,1,CVB0097,0.12045880737027218,0.1288224917643751,5,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0106,0,1,CVB0102,0.11058938816812847,0.14163146643123303,24,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0110,0,1,CVB0106,0.11415943861524475,0.15313507511687396,13,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0115,0,1,CVB0111,0.2690338140939807,0.26969982605261766,23,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0120,0,1,CVB0116,0.25135440388989794,0.2594832602142168,16,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0124,0,1,CVB0120,0.32285761933411683,0.2909745938575996,9,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0128,0,1,CVB0124,0.17720573220209007,0.22739680815224284,5,0,monotonic_transformed_decision_score_not_calibrated,0.54,constraints_met,1,1,SVM,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0012,1,1,CVB0012,1.3415479763012673e-06,0.00477296293627461,28,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0019,0,1,CVB0017,9.663523903289137e-10,1.715555423049963e-07,5,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0023,0,1,CVB0020,2.6993865280445328e-05,0.14557651687623607,38,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
GG0029,0,1,CVB0026,4.751219086501665e-14,0.2835946639962225,7,0,predict_proba,0.42500000000000004,constraints_met,1,1,MLP,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,440,1
