study_name,model,repeat,outer_fold,selected_trial_number,parameter_hash,threshold,threshold_status,completed_trial_count,roc_auc,average_precision,fold_auc_sd,f1_at_0_5,balanced_accuracy_at_0_5,complexity,optimizer_converged_fraction,optimizer_iterations_max,optimizer_fit_cycles_max,outer_seed,inner_seed,actual_inner_folds,parameters_json
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_SVM_r3_f2,SVM,3,2,34,6f73214161263078f75ede7e5a547558d9d2bdccc9287df681663a384df81b98,0.325,constraints_met,40,0.783068783068783,0.586065821898295,0.10036401246589803,0.0,0.5,2.145144858421546,1.0,0.0,1.0,20290815,20291015,4,"{""C"": 0.3520102286132292, ""gamma"": 0.003958163656191956}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_MLP_r3_f2,MLP,3,2,13,12f4762e7810aa99bd7d6a4eefb68d7c572895c204e36c74d3b4f620965fc66f,0.195,constraints_met,40,0.7814814814814814,0.6685567347098205,0.09062523330845065,0.5531914893617021,0.6907407407407408,192.0,1.0,96.0,1.0,20290815,20291015,4,"{""alpha"": 0.0009939016664850594, ""hidden_layer_sizes"": [61, 131], ""learning_rate_init"": 0.003187994358420681}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_XGBoost_r3_f2,XGBoost,3,2,37,34ceedf6a1bb29961f2328af1d5171f68f761751bb240b7ec5769fb12f9571f5,0.5,constraints_met,40,0.7867724867724868,0.6189211012221341,0.1285175366750826,0.68,0.771957671957672,14240.0,1.0,0.0,1.0,20290815,20291015,4,"{""colsample_bytree"": 0.750963379142392, ""gamma"": 0.2042509410672151, ""learning_rate"": 0.08396820986128938, ""max_depth"": 4, ""min_child_weight"": 9.423988959538825, ""n_estimators"": 890, ""reg_alpha"": 0.01863554139810163, ""reg_lambda"": 0.027189465884329987, ""subsample"": 0.9409381418772337}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r3_f3,RF,3,3,37,138b42b645a52e1c9c6450b33e86be72371b7a305187b74bbc7820825358c506,0.41000000000000003,constraints_met,40,0.8427991886409736,0.6396038478304685,0.09328354563452551,0.6181818181818182,0.7269269776876268,3342.0,1.0,0.0,1.0,20290815,20291115,4,"{""max_depth"": 12, ""max_features"": 0.2933751692158595, ""min_samples_leaf"": 2, ""n_estimators"": 557}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_SVM_r3_f3,SVM,3,3,31,036ae0ab6da92d9606dcff9fd9fd5c0b3f773a13d71b4c1ff7d0186c3baaaa25,0.45999999999999996,constraints_met,40,0.8417849898580122,0.676769776762827,0.048586674873482186,0.6666666666666666,0.7588742393509128,3.6769625392817873,1.0,0.0,1.0,20290815,20291115,4,"{""C"": 1.0582866092325824, ""gamma"": 0.0449016735311344}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_MLP_r3_f3,MLP,3,3,12,e3eb9d7a1c02457634ee9456d23fac64fe8bc9103cca2f0a19d9aec17effe746,0.1,constraints_met,40,0.8149087221095334,0.6494128122208046,0.09995244857259555,0.5769230769230769,0.6997971602434077,116.0,1.0,499.0,1.0,20290815,20291115,4,"{""alpha"": 0.0011386490846468332, ""hidden_layer_sizes"": [37, 79], ""learning_rate_init"": 0.000256381142765306}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_XGBoost_r3_f3,XGBoost,3,3,24,fa918013c1409dc959ee826802f97650202fb62bb6eb8e25b1ec88c78be5c93e,0.345,constraints_met,40,0.8493914807302231,0.644302765917991,0.05509065626474143,0.6071428571428571,0.7195740365111561,3800.0,1.0,0.0,1.0,20290815,20291115,4,"{""colsample_bytree"": 0.8596018229319556, ""gamma"": 0.32390867504680093, ""learning_rate"": 0.0656078928481388, ""max_depth"": 3, ""min_child_weight"": 2.5310868151643113, ""n_estimators"": 475, ""reg_alpha"": 0.00013240330731140027, ""reg_lambda"": 0.003533081190785931, ""subsample"": 0.9965099770559223}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r3_f4,RF,3,4,19,a5a3818f75300e7f9b4e16ac8301394914e754667cc89b35d518b47853b32d4d,0.45999999999999996,constraints_met,40,0.8549817423056859,0.725429907465214,0.10925085528933826,0.6938775510204082,0.779603547209181,4110.0,1.0,0.0,1.0,20290815,20291215,4,"{""max_depth"": 20, ""max_features"": 0.25768164882983147, ""min_samples_leaf"": 2, ""n_estimators"": 411}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_SVM_r3_f4,SVM,3,4,23,28f14bd0af3ae3ab5deda2a149d94846c31c46d5cc3ff9c9b19de84dca2f79bf,0.405,constraints_met,40,0.8179447052686489,0.6605324480993551,0.06989278732236878,0.6382978723404256,0.7425665101721439,2.733538588952216,1.0,0.0,1.0,20290815,20291215,4,"{""C"": 0.411720946914701, ""gamma"": 0.013140298953660033}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_MLP_r3_f4,MLP,3,4,31,c449e1a278d6cac7e0960dff62ea898bc193e2cdceaa5f9362a0fd01c1d9225e,0.10500000000000001,constraints_met,40,0.8309859154929577,0.7256077251127273,0.02334365516102721,0.625,0.7355242566510172,224.0,1.0,208.0,1.0,20290815,20291215,4,"{""alpha"": 0.0002178071973198874, ""hidden_layer_sizes"": [97, 127], ""learning_rate_init"": 0.000472134433810667}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_XGBoost_r3_f4,XGBoost,3,4,30,9abda8600d43251c251722bc0e6d5dceaead9da1a359ba4bd8a06cbb5ed10078,0.5,constraints_met,40,0.8607198748043818,0.7865837543224916,0.10210655254538961,0.7659574468085106,0.8192488262910798,10784.0,1.0,0.0,1.0,20290815,20291215,4,"{""colsample_bytree"": 0.6579670010592654, ""gamma"": 0.1935444580644038, ""learning_rate"": 0.03733184630389288, ""max_depth"": 4, ""min_child_weight"": 4.026703249317824, ""n_estimators"": 674, ""reg_alpha"": 1.9094663521588564e-06, ""reg_lambda"": 0.002139479140186557, ""subsample"": 0.9141905927725317}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r3_f5,RF,3,5,29,800a6fadd786e2053d94fc3353b779600092d0d156fcfdf9b6b5281751ca8f93,0.325,constraints_met,40,0.8059467918622848,0.6123647758692836,0.12272804399908568,0.5333333333333333,0.6799687010954616,983.25,1.0,0.0,1.0,20290815,20291315,4,"{""max_depth"": 9, ""max_features"": 0.5527488790173543, ""min_samples_leaf"": 4, ""n_estimators"": 437}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_SVM_r3_f5,SVM,3,5,28,5fa4a908761633c62a478b5a6b62e5ab4f348beacb01f913ae275df854a8b8a0,0.42500000000000004,constraints_met,40,0.7918622848200312,0.5769371600722564,0.08571195708962169,0.5416666666666666,0.6844027125717267,4.904107092009136,1.0,0.0,1.0,20290815,20291315,4,"{""C"": 60.555087337276355, ""gamma"": 0.013232087619475013}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_MLP_r3_f5,MLP,3,5,7,2e5d3cd8b4df0394a14061b6bcded89de6de92f9a8b3f1197b0749ebcacb597b,0.14500000000000002,constraints_met,40,0.7986437141366718,0.577506707911249,0.08325194700757041,0.5714285714285714,0.7029212310902452,143.0,1.0,737.0,2.0,20290815,20291315,4,"{""alpha"": 0.0001142633006917424, ""hidden_layer_sizes"": [143], ""learning_rate_init"": 0.00036339938057141865}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_XGBoost_r3_f5,XGBoost,3,5,39,f5fcb432771cd87cf229d688f5ab756f893357956cbe8217ffb976d534b575e8,0.13,constraints_met,40,0.8341158059467918,0.6890499727333039,0.08206310536605281,0.6222222222222222,0.7310902451747522,3408.0,1.0,0.0,1.0,20290815,20291315,4,"{""colsample_bytree"": 0.7345026325936563, ""gamma"": 0.8064450221406252, ""learning_rate"": 0.08971116107321685, ""max_depth"": 2, ""min_child_weight"": 2.4053188941515393, ""n_estimators"": 852, ""reg_alpha"": 5.48690460753303e-06, ""reg_lambda"": 0.007945372368182074, ""subsample"": 0.9262617510628204}"
