study_name,model,repeat,outer_fold,trial_number,state,objective,duration_seconds,parameters_json,metric::average_precision,metric::balanced_accuracy_at_0_5,metric::complexity,metric::f1_at_0_5,metric::fold_auc_sd,metric::keyboard_interrupt_retries,metric::optimizer_converged_fraction,metric::optimizer_fit_cycles_max,metric::optimizer_iterations_max,metric::parameter_hash,metric::roc_auc
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,11,COMPLETE,0.8372448979591838,12.547341,"{""max_depth"": null, ""max_features"": 0.2627192389954429, ""min_samples_leaf"": 5, ""n_estimators"": 605}",0.626683862007128,0.7,3630.0,0.5714285714285714,0.0739703367045609,0,1.0,1.0,0.0,90055fb463a4fc8fc1fc6f83573f1fde5b937757354f20385a5821d768a93862,0.8372448979591838
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,12,COMPLETE,0.8362244897959185,14.547961,"{""max_depth"": null, ""max_features"": 0.2582273466583632, ""min_samples_leaf"": 6, ""n_estimators"": 710}",0.6252783381015383,0.7071428571428571,3550.0,0.5833333333333334,0.0784058266326795,0,1.0,1.0,0.0,9f1ec5720fc9da5594da078f6d6f4e3e97682193829f2889b9905ad9870fb8fb,0.8362244897959185
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,13,COMPLETE,0.8209183673469388,22.19821,"{""max_depth"": null, ""max_features"": 0.8951437147952348, ""min_samples_leaf"": 12, ""n_estimators"": 555}",0.5839421182675645,0.7071428571428571,1387.5,0.5833333333333334,0.0765543113693358,0,1.0,1.0,0.0,cd432539c80e158e08adc9fd0325b3381a53165ed2a86c5f60e6186fa359d615,0.8209183673469388
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,14,COMPLETE,0.8397959183673469,19.72057,"{""max_depth"": null, ""max_features"": 0.3726759753294582, ""min_samples_leaf"": 4, ""n_estimators"": 815}",0.6328660833208812,0.7428571428571429,6112.5,0.64,0.0685473997373348,0,1.0,1.0,0.0,211c1215bb486b8a7ba635db7f32ed1fb7d05f716f7fb28ab2cad693a8eec29d,0.8397959183673469
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,15,COMPLETE,0.8397959183673469,19.5377,"{""max_depth"": null, ""max_features"": 0.3712501372366117, ""min_samples_leaf"": 5, ""n_estimators"": 818}",0.6325676603792966,0.7071428571428571,4908.0,0.5833333333333334,0.0767563141834454,0,1.0,1.0,0.0,d693f3618881a3d22173a3eb571dc8b73fd96b7b4b58bbec12cc86597fdbf9d5,0.8397959183673469
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,16,COMPLETE,0.8367346938775511,20.646772,"{""max_depth"": null, ""max_features"": 0.3888977260226704, ""min_samples_leaf"": 5, ""n_estimators"": 831}",0.6234240861142663,0.7071428571428571,4986.0,0.5833333333333334,0.0820737350714474,0,1.0,1.0,0.0,16991712bc62ab1fa26af0301c89eeedf95664c0f039549c37668219fffe4dc5,0.8367346938775511
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,17,COMPLETE,0.8454081632653061,26.1473,"{""max_depth"": null, ""max_features"": 0.3631726460621878, ""min_samples_leaf"": 2, ""n_estimators"": 991}",0.6455536395782631,0.7678571428571428,14865.0,0.68,0.0756081694004512,0,1.0,1.0,0.0,55ec1441f9f16bebc82af9cb479a5cf95f3570b352a152f8d58e0b2f7873ea47,0.8454081632653061
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,18,COMPLETE,0.8448979591836735,23.906906,"{""max_depth"": null, ""max_features"": 0.3438790115606999, ""min_samples_leaf"": 2, ""n_estimators"": 981}",0.650239287759369,0.7535714285714286,14715.0,0.6538461538461539,0.0757705626117834,0,1.0,1.0,0.0,f8dada43805c3dfb3b7e25d7c84d44bd33ab747d974df45215c98b66a779f36e,0.8448979591836735
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,19,COMPLETE,0.8433673469387756,22.937773,"{""max_depth"": null, ""max_features"": 0.3180048876144883, ""min_samples_leaf"": 2, ""n_estimators"": 991}",0.6495436309805985,0.7535714285714286,14865.0,0.6538461538461539,0.0822246097792307,0,1.0,1.0,0.0,9e120f4371521948dcd2eb5705045242937a72742369b8a18631e1ea74a6cf25,0.8433673469387756
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,20,COMPLETE,0.8454081632653061,24.208309,"{""max_depth"": null, ""max_features"": 0.40720478855623576, ""min_samples_leaf"": 2, ""n_estimators"": 910}",0.6574591051247582,0.7607142857142857,13650.0,0.6666666666666666,0.0789638225161998,0,1.0,1.0,0.0,db8293fe2c26d2454e629fead06e812c97b63e5e702b9bbea7f6d4f6db259901,0.8454081632653061
