model,feature,mean_abs_oof_shap,bootstrap_ci_low,bootstrap_ci_high,mean_rank,rank_sd,direction_spearman_mean,direction_spearman,direction_bootstrap_median,direction_bootstrap_ci_low,direction_bootstrap_ci_high,direction_block_bootstrap_ci_low,direction_block_bootstrap_ci_high,observed_only_direction_spearman,observed_only_direction_bootstrap_median,observed_only_direction_ci_low,observed_only_direction_ci_high,direction_sign,completed_direction_ci_excludes_zero,observed_direction_ci_excludes_zero,observed_completed_direction_agreement,direction_agreement_fraction,primary_missing_fraction,imputed_fraction,observed_group_count,new_rank,normalized_importance,top10_repeat_count,absolute_label_missingness_gap
XGBoost,Fe2O3 (wt.%),0.6226704120635986,0.5229802924121508,0.7216072859076523,1.0,0.0,-0.8885224499533181,-0.9071571495796172,-0.9057151310976318,-0.9403239985844513,-0.8519673095254043,-0.9403952994099937,-0.8473395125404518,-0.9207123443348496,-0.9195097597476833,-0.9484607342985161,-0.8727419656179469,-1,True,True,True,1.0,0.1204604854712154,0.11065405183052242,112,1,0.08948461255847527,3,0.1447916359260389
XGBoost,Ta (ppm),0.5783624649047852,0.5001937714214514,0.6572713202579312,2.0,0.0,0.7926169111252909,0.8101064207792678,0.8093759736012334,0.7116704354004005,0.876719651894808,0.7076625608806049,0.8740469832492124,0.8121585298643884,0.8137798386803388,0.7132132471567152,0.8796623292991818,1,True,True,True,1.0,0.06833425046530622,0.055944055944055944,118,2,0.08311707138749243,3,0.0370830341245561
XGBoost,Rb (ppm),0.4311327636241913,0.38268265129471596,0.48087515050228524,3.0,0.0,0.7414186911369359,0.7821194897934448,0.7779936367940402,0.6548177493618933,0.8754545335333548,0.666266393030963,0.8769431335207732,0.8014491559303943,0.7992887212231509,0.6839483012435092,0.8881281651816842,1,True,True,True,1.0,0.06683476969490225,0.06499382969971206,117,3,0.06195853788253388,3,0.0477963478494676
XGBoost,Th (ppm),0.38484084606170654,0.3376983173726867,0.43544976029394294,4.333333333333333,0.5773502691896258,0.894356683470899,0.9082494684029828,0.9049312272353404,0.8679926742678626,0.9323833009899961,0.867899121074853,0.9323027887764411,0.9200850206529972,0.9179925735720141,0.8763191299647995,0.9426863072191672,1,True,True,True,1.0,0.06788188490832463,0.061291649526943645,118,4,0.05530587826130762,3,0.0446280138111492
XGBoost,CaO (wt.%),0.3676585853099823,0.3330622743063255,0.4001843798676597,5.0,1.0,-0.7467993334662445,-0.791352737570677,-0.7922465257007996,-0.8715759124197909,-0.6718573391303785,-0.873844647754339,-0.6704176949798812,-0.800260811652633,-0.8033094591668617,-0.8777053006537817,-0.679984040008091,-1,True,True,True,1.0,0.03680471323041954,0.05141916906622789,121,5,0.05283659769737149,3,0.0669489885923579
XGBoost,Nb (ppm),0.3448837697505951,0.2867255872418936,0.4046041141546591,5.666666666666667,0.5773502691896258,-0.6744736837797376,-0.711044727793957,-0.710049480579934,-0.8155119404578764,-0.5655829239562723,-0.8179259082222783,-0.5683199406760863,-0.7239132950836527,-0.726389875655963,-0.8325116675473956,-0.5884682093456832,-1,True,True,True,1.0,0.060742715119241106,0.06993006993006994,119,6,0.04956360526519802,3,0.0468101885097271
XGBoost,Ba (ppm),0.3022520840167999,0.2612035754409172,0.3414910609065268,8.0,1.7320508075688772,-0.8140285627772927,-0.8511537533746831,-0.8479560389504638,-0.8875323766676366,-0.7952865037798846,-0.8874877980925122,-0.7946861247673583,-0.8715063600407569,-0.8674074716399339,-0.9066992976547188,-0.8177980220566399,-1,True,True,True,1.0,0.05908989774831967,0.0481283422459893,118,7,0.04343696136708761,3,0.0300413809837656
XGBoost,Pb (ppm),0.29353639483451843,0.2562573833632012,0.33396414995310847,8.0,1.0,0.8174900838562648,0.8793606524332415,0.8769892343105608,0.8148239559578534,0.922530282210477,0.8061880808808275,0.9228759473436596,0.8215961253935937,0.818861716244362,0.7149691147324861,0.882358225239513,1,True,True,True,1.0,0.4628718163779995,0.49609214315096667,78,8,0.04218442060949514,3,0.2446511307632529
XGBoost,Zr (ppm),0.29294851422309875,0.2602080097137168,0.324907211336874,9.333333333333334,0.5773502691896257,-0.5628685311830354,-0.6000988042905404,-0.6031201430821713,-0.7521033357209456,-0.43566504923201504,-0.7534352033482862,-0.43509978723049114,-0.6240397134428706,-0.6264148408565502,-0.7701201609106527,-0.44238549570543007,-1,True,True,True,1.0,0.07013223238623896,0.053475935828877004,117,9,0.04209993567537215,3,0.031607923376321
XGBoost,P2O5 (wt.%),0.29291194677352905,0.24113904480454054,0.35091014288188827,8.666666666666666,1.1547005383792517,0.6261506510933512,0.6431839240397531,0.6440184047526556,0.4926550849892492,0.7661739895650357,0.48442692762664286,0.7702019713748673,0.6960197948652899,0.696469430541019,0.5410763389072042,0.8074349927056828,1,True,True,True,1.0,0.05007659287726116,0.07198683669271905,121,10,0.04209468052916061,3,0.037929835951615
