feature,legacy_locked_order,new_rank,mean_abs_oof_shap,mean_abs_oof_shap_ci_low,mean_abs_oof_shap_ci_high,rank_sd,direction_spearman,direction_bootstrap_ci_low,direction_bootstrap_ci_high,direction_block_bootstrap_ci_low,direction_block_bootstrap_ci_high,direction_sign,direction_agreement_fraction,observed_only_direction_spearman,observed_only_direction_ci_low,observed_only_direction_ci_high,observed_completed_direction_agreement,primary_missing_fraction,imputed_fraction,absolute_label_missingness_gap,included_in_quality_panel,status,reason
Rb (ppm),1,3,0.4311327636241913,0.38268265129471596,0.48087515050228524,0.0,0.7821194897934448,0.6548177493618933,0.8754545335333548,0.666266393030963,0.8769431335207732,1,1.0,0.8014491559303943,0.6839483012435092,0.8881281651816842,True,0.06683476969490225,0.06499382969971206,0.0477963478494676,True,reproduced_under_optuna_revision,all_predeclared_stability_checks_passed
CaO (wt.%),2,5,0.3676585853099823,0.3330622743063255,0.4001843798676597,1.0,-0.791352737570677,-0.8715759124197909,-0.6718573391303785,-0.873844647754339,-0.6704176949798812,-1,1.0,-0.800260811652633,-0.8777053006537817,-0.679984040008091,True,0.03680471323041954,0.05141916906622789,0.0669489885923579,True,reproduced_under_optuna_revision,all_predeclared_stability_checks_passed
Nb (ppm),3,6,0.3448837697505951,0.2867255872418936,0.4046041141546591,0.5773502691896258,-0.711044727793957,-0.8155119404578764,-0.5655829239562723,-0.8179259082222783,-0.5683199406760863,-1,1.0,-0.7239132950836527,-0.8325116675473956,-0.5884682093456832,True,0.060742715119241106,0.06993006993006994,0.0468101885097271,True,reproduced_under_optuna_revision,all_predeclared_stability_checks_passed
Zr (ppm),4,9,0.29294851422309875,0.2602080097137168,0.324907211336874,0.5773502691896257,-0.6000988042905404,-0.7521033357209456,-0.43566504923201504,-0.7534352033482862,-0.43509978723049114,-1,1.0,-0.6240397134428706,-0.7701201609106527,-0.44238549570543007,True,0.07013223238623896,0.053475935828877004,0.031607923376321,True,reproduced_under_optuna_revision,all_predeclared_stability_checks_passed
P2O5 (wt.%),5,10,0.29291194677352905,0.24113904480454054,0.35091014288188827,1.1547005383792517,0.6431839240397531,0.4926550849892492,0.7661739895650357,0.48442692762664286,0.7702019713748673,1,1.0,0.6960197948652899,0.5410763389072042,0.8074349927056828,True,0.05007659287726116,0.07198683669271905,0.037929835951615,True,reproduced_under_optuna_revision,all_predeclared_stability_checks_passed
Ba (ppm),6,7,0.3022520840167999,0.2612035754409172,0.3414910609065268,1.7320508075688772,-0.8511537533746831,-0.8875323766676366,-0.7952865037798846,-0.8874877980925122,-0.7946861247673583,-1,1.0,-0.8715063600407569,-0.9066992976547188,-0.8177980220566399,True,0.05908989774831967,0.0481283422459893,0.0300413809837656,True,reproduced_under_optuna_revision,all_predeclared_stability_checks_passed
MgO (wt.%),7,15,0.19012747704982758,0.16243701574362082,0.21904124318580065,2.516611478423583,0.10574684543316511,-0.12133451076570675,0.30862805930000703,-0.112160847038665,0.3185021040471658,1,0.6666666666666666,0.10090745597940343,-0.12695816421961814,0.30420150735911927,True,0.04326539400752469,0.058823529411764705,0.0565020936416905,True,not_reproduced_under_optuna_revision,repeat_direction;completed_direction_ci;observed_direction_ci
Na2O (wt.%),8,21,0.1331920176744461,0.11507178159501236,0.15322060985729236,1.5275252316519465,-0.5447185108594563,-0.6818122611327855,-0.38490831058300057,-0.6797554431510553,-0.3750774892647443,-1,1.0,-0.5874434760736872,-0.720462541448731,-0.42192565251873554,True,0.040688397851809076,0.05429864253393665,0.0628863072226539,True,not_reproduced_under_optuna_revision,rank_range
K2O (wt.%),9,16,0.17974314093589783,0.14614438503097024,0.21361542640666129,3.7859388972001824,0.9109168055807584,0.8674233476137552,0.9348414243409107,0.870866449190865,0.93393256623729,1,1.0,0.9070530735902559,0.8641528255955985,0.9321810235968075,True,0.041470361095567274,0.057178116001645414,0.0588236258529499,True,not_reproduced_under_optuna_revision,rank_range
