model,roc_auc,average_precision,f1,precision,recall,specificity,balanced_accuracy,tn,fp,fn,tp
MLP,0.8262032085561497,0.6120739344349582,0.676056338028169,0.6486486486486487,0.7058823529411765,0.8522727272727273,0.7790775401069518,75,13,10,24
RF,0.8512700534759358,0.6386875557086201,0.6857142857142857,0.6666666666666666,0.7058823529411765,0.8636363636363636,0.7847593582887701,76,12,10,24
SVM,0.8078208556149732,0.6122890998708046,0.746268656716418,0.7575757575757576,0.7352941176470589,0.9090909090909091,0.822192513368984,80,8,9,25
XGBoost,0.8699866310160428,0.6926267626873781,0.7164179104477612,0.7272727272727273,0.7058823529411765,0.8977272727272727,0.8018048128342246,79,9,10,24
