model,roc_auc_mean,roc_auc_ci_low,roc_auc_ci_high,roc_auc_sd,average_precision_mean,average_precision_ci_low,average_precision_ci_high,average_precision_sd,f1_mean,f1_ci_low,f1_ci_high,f1_sd,balanced_accuracy_mean,balanced_accuracy_ci_low,balanced_accuracy_ci_high,balanced_accuracy_sd
MLP,0.818850267379679,0.7511395285534082,0.8865610062059499,0.02725724041256988,0.6073132065362453,0.44332019833963265,0.771306214732858,0.06601606964981625,0.6427121838080742,0.47165928906232013,0.8137650785538282,0.06885805643494275,0.7545677361853832,0.6262278831355899,0.8829075892351765,0.05166374329583972
RF,0.8375668449197861,0.7661500110967945,0.9089836787427776,0.02874914441581265,0.619161511237649,0.46256257417138924,0.7757604483039087,0.06303955546726124,0.6918438736997147,0.603760748201736,0.7799269991976934,0.035458229663526436,0.7896613190730838,0.7246443147273608,0.8546783234188068,0.0261728663588129
SVM,0.7946746880570409,0.7838706698474485,0.8054787062666333,0.004349202606047871,0.6086231973334503,0.5270661150068784,0.6901802796600222,0.03283114375737132,0.6918382913806255,0.6754284792917767,0.7082481034694742,0.006605838320247413,0.7907754010695188,0.789337348686599,0.7922134534524387,0.0005788939864869105
XGBoost,0.857843137254902,0.7827684774395266,0.9329177970702774,0.030221617529975018,0.6617558214172544,0.5338537123473439,0.7896579304871649,0.051487527630412804,0.6998644619137978,0.579018117084587,0.8207108067430087,0.04864720029774832,0.7901069518716577,0.702917799131568,0.8772961046117473,0.035098357200066994
