s_support_bin,p_s_min,p_s_max,p_u_median,p_u_ci_low,p_u_ci_high,geological_groups,dependency_blocks
Q1,0.0238450039178133,0.1891201138496399,0.041413839906454,0.0080955410376191,0.21144613623619074,17,17
Q2,0.2057947218418121,0.3894882500171661,0.019368313252925852,0.0044327550567686,0.29348867386579514,17,17
Q3,0.4153366982936859,0.6244234442710876,0.1803551316261291,0.022383986972272348,0.5247225761413574,17,17
Q4,0.6416531205177307,0.9649322628974916,0.46333155035972595,0.1836517080664634,0.631862223148346,17,17
