feature,display,task_a_direction_rho,task_a_ci_low,task_a_ci_high,task_a_direction_agreement,task_b_s_direction_rho,task_b_s_ci_low,task_b_s_ci_high,task_b_s_sign_consistency,task_b_s_partition_availability,task_a_contribution_share,task_b_s_contribution_share,direction_agreement,task_a_rank_within_bridge,task_b_s_rank_within_bridge,task_a_signed_share,task_b_s_signed_share
Rb,Rb,0.7821194897934448,0.666266393030963,0.8769431335207732,1.0,0.7892689470154257,0.6666254150477865,0.8678620016242294,1.0,1.0,0.2121938090909839,0.3007327467627346,1,1.0,1.0,0.2121938090909839,0.3007327467627346
CaO,CaO,-0.791352737570677,-0.873844647754339,-0.6704176949798812,1.0,0.3385340252803854,0.0548461591081725,0.5864978382999252,0.6666666666666666,0.96,0.18095325209366692,0.04309430367684529,0,2.0,6.0,-0.18095325209366692,0.04309430367684529
Nb,Nb,-0.711044727793957,-0.8179259082222783,-0.5683199406760863,1.0,-0.9316230717639168,-0.9630846555368684,-0.8632490691216735,1.0,1.0,0.16974400224620345,0.2309595098646048,1,3.0,2.0,-0.16974400224620345,-0.2309595098646048
Ba,Ba,-0.8511537533746831,-0.8874877980925122,-0.7946861247673583,1.0,-0.822132796780684,-0.9035786843529982,-0.6865165684812025,1.0,1.0,0.14876164936775438,0.16867842307323505,1,4.0,4.0,-0.14876164936775438,-0.16867842307323505
Zr,Zr,-0.6000988042905404,-0.7534352033482862,-0.4350997872304911,1.0,-0.8868264630520349,-0.9271803337548018,-0.811566147789482,0.96,1.0,0.1441826424370955,0.06627598630280324,1,5.0,5.0,-0.1441826424370955,-0.06627598630280324
P2O5,P$_2$O$_5$,0.6431839240397531,0.4844269276266428,0.7702019713748673,1.0,0.9325539277079508,0.8897263875538344,0.953103417291388,1.0,1.0,0.1441646447642958,0.1902590303197771,1,6.0,3.0,0.1441646447642958,0.1902590303197771
