permutation_id,signed_contribution_cosine
1,0.8226831990864485
2,0.2727758140519914
3,0.4358043907369796
4,0.2789195193108516
5,0.42720827021883256
6,0.8202307838271616
7,0.8006667881976417
8,0.25075940316318457
9,0.16542981732832948
10,0.26084708083982516
11,0.15683369681018253
12,0.8021583453561351
13,0.37949201501104635
14,0.22260714358491843
15,0.13113385249120316
16,0.22655111600269878
17,0.12868143723191638
18,0.3809835721695399
19,0.4188819606540165
20,0.8119044742623456
21,0.17052379813417326
22,0.8158484466801259
23,0.17666750339303353
24,0.428969638330657
25,0.8387498299904472
26,0.28884244495599015
27,0.45187102164097825
28,0.2949861502148503
29,0.44327490112283124
30,0.8362974147311605
31,0.8533714581359991
32,0.30346407310154205
33,0.631433280555912
34,0.3069884913930422
35,0.6228371600377651
36,0.8482997559093522
37,0.43219668494940383
38,0.2753118135232759
39,0.5971373157187856
40,0.27269252655591586
41,0.594684900459499
42,0.427124982722757
43,0.47158663059237393
44,0.8646091442007031
45,0.6365272613617559
46,0.8619898572333429
47,0.6426709666206161
48,0.4751110488838741
49,0.8070787116744902
50,0.2571713266400332
51,0.1718417408051782
52,0.26725900431667377
53,0.16324562028703118
54,0.8085702688329838
55,0.843716750708849
56,0.2938093656743919
57,0.6217785731287621
58,0.29733378396589205
59,0.6131824526106151
60,0.838645048482202
61,0.15216740411360374
62,0.24758466762509931
63,0.5654661974028289
64,0.24102140823995885
65,0.5669577545613224
66,0.1470957018869568
67,0.19155734975657385
68,0.8368819983025264
69,0.6048561430457989
70,0.830318738917386
71,0.6149438207224395
72,0.19508176804807395
73,0.37086436150568014
74,0.21397949007955228
75,0.12250619898583698
76,0.2179234624973326
77,0.12005378372655023
78,0.3723559186641738
79,0.4075024005400389
80,0.25061752911391094
81,0.5724430313094209
82,0.24799824214655092
83,0.5699906160501341
84,0.40243069831339207
85,0.13712782713138888
86,0.23254509064288448
87,0.5504266204206141
88,0.22598183125774407
89,0.5519181775791075
90,0.132056124904742
91,0.1483655131960929
92,0.40066764813371636
93,0.5616643064853181
94,0.394104388748576
95,0.5656082789030983
96,0.14574622622873276
97,0.43129731146508016
98,0.8243198250734093
99,0.18293914894523697
100,0.8282637974911896
101,0.18908285420409712
102,0.4413849891417207
103,0.4679353504994388
104,0.8609578641077679
105,0.6328759812688208
106,0.858338577140408
107,0.639019686527681
108,0.471459768790939
109,0.19756077709078884
110,0.8428854256367415
111,0.610859570380014
112,0.836322166251601
113,0.6209472480566545
114,0.20108519538228892
115,0.16940851751252267
116,0.4217106524501462
117,0.5827073108017479
118,0.4151473930650058
119,0.5866512832195282
120,0.16678923054516256
121,0.2929244751948167
122,-0.2569829098396405
123,-0.09395433315465228
124,-0.25083920458078024
125,-0.10255045367279929
126,0.2904720599355299
127,0.27090806430600983
128,-0.27899932072844735
129,-0.36432890656330225
130,-0.2689116430518067
131,-0.3729250270814493
132,0.27239962146450336
133,-0.15026670888058546
134,-0.3071515803067134
135,-0.3986248714004286
136,-0.30320760788893303
137,-0.4010772866597154
138,-0.14877515172209194
139,-0.11087676323761533
140,0.2821457503707138
141,-0.3592349257574586
142,0.2860897227884941
143,-0.3530912204985983
144,-0.10078908556097478
145,0.3240953723677311
146,-0.22581201266672588
147,-0.06278343598173775
148,-0.21966830740786564
149,-0.0713795564998847
150,0.32164295710844437
151,0.37316048156743203
152,-0.17674690346702493
153,0.539765182688092
154,-0.17939261617171576
155,0.5311690621699451
156,0.36191864834459425
157,-0.04801429161916325
158,-0.20489916304529113
159,0.5054692178509657
160,-0.2136885810088421
161,0.5030168025916789
162,-0.05925612484200099
163,-0.008624345976193031
164,0.384398167632136
165,0.5448591634939358
166,0.37560874966858504
167,0.551002868752796
168,-0.01127005868088385
169,0.2924242540517743
170,-0.2574831309826828
171,-0.34281271681753783
172,-0.24739545330604223
173,-0.35140883733568484
174,0.2939158112102678
175,0.363505774140282
176,-0.18640161089417506
177,0.530110475260942
178,-0.18904732359886592
179,0.521514354742795
180,0.35226394091744423
181,-0.3280435724549633
182,-0.23262630894346775
183,0.4737980995350088
184,-0.24535969932479912
185,0.4752896566935023
186,-0.33928540567780113
187,-0.2886536268119932
188,0.3566710217339595
189,0.513188045177979
190,0.34393763135262817
191,0.5232757228546194
192,-0.291299339516684
193,-0.14379009611703583
194,-0.30067496754316375
195,-0.392148258636879
196,-0.2967309951253834
197,-0.3946006738961658
198,-0.14229853895854228
199,-0.07270857602852811
200,-0.229593447454656
201,0.48077493344160077
202,-0.2383828654182071
203,0.478322518182314
204,-0.0839504092513659
205,-0.3430831494371781
206,-0.2476658859256825
207,0.458758522552794
208,-0.2603992763070139
209,0.4602500797112874
210,-0.35432498266001594
211,-0.3318454633724741
212,-0.07954332843485061
213,0.469996208617498
214,-0.09227671881618195
215,0.47394018103527824
216,-0.34063488133602515
217,-0.08335714615763588
218,0.30966536745069323
219,-0.33171530867747906
220,0.3136093398684736
221,-0.32557160341861885
222,-0.0732694684809953
223,-0.012275626069128156
224,0.38074688753920094
225,0.5412078834010008
226,0.3719574695756499
227,0.547351588659861
228,-0.014921338773818977
229,-0.28265019947777814
230,0.36267444906817453
231,0.5191914725121939
232,0.34994105868684316
233,0.5292791501888344
234,-0.285295912182469
235,-0.31080245905604437
236,-0.058500324118420814
237,0.4910392129339278
238,-0.07123371449975217
239,0.49498318535170804
240,-0.31959187701959535
241,-0.2545210654560877
242,-0.8044284504905447
243,-0.6413998738055567
244,-0.7982847452316847
245,-0.6499959943237036
246,-0.25697348071537457
247,-0.23989943731053587
248,-0.7898068223449928
249,-0.4618376148906228
250,-0.7862824040534928
251,-0.47043373540876987
252,-0.24497113953718272
253,-0.6610742104971311
254,-0.8179590819232591
255,-0.4961335797277492
256,-0.8205783688906191
257,-0.498585994987036
258,-0.666145912723778
259,-0.6216842648541611
260,-0.2286617512458319
261,-0.4567436340847791
262,-0.23128103821319196
263,-0.45059992882591887
264,-0.6181598465626609
265,-0.23941679918717199
266,-0.789324184221629
267,-0.6262956075366408
268,-0.7831804789627688
269,-0.6348917280547879
270,-0.24186921444645873
271,-0.19035168998747104
272,-0.7402590750219281
273,-0.02374698886681111
274,-0.742904787726619
275,-0.032343109384958095
276,-0.2015935232103089
277,-0.6115264631740663
278,-0.7684113346001943
279,-0.05804295370393747
280,-0.7772007525637453
281,-0.060495368963224244
282,-0.6227682963969041
283,-0.5721365175310962
284,-0.17911400392276708
285,-0.018653008060967338
286,-0.18790342188631814
287,-0.0125093028021071
288,-0.574782230235787
289,-0.2183832475647714
290,-0.7682906325992285
291,-0.44032142514485834
292,-0.7647662143077283
293,-0.44891754566300535
294,-0.22345494979141828
295,-0.18393976651062238
296,-0.7338471515450795
297,-0.01733506538996245
298,-0.7364928642497702
299,-0.025931185908109437
300,-0.19518159973346025
301,-0.42555228078228385
302,-0.7499970699451538
303,-0.0370094020815369
304,-0.7561672009413447
305,-0.04208110430818381
306,-0.4367941140051217
307,-0.38616233513931375
308,-0.16069973926772663
309,0.0023805435614332165
310,-0.1668698702639176
311,0.005904961852933325
312,-0.3888080478440045
313,-0.6545975977335815
314,-0.8114824691597093
315,-0.4896569669641995
316,-0.8141017561270696
317,-0.4921093822234863
318,-0.6596692999602283
319,-0.6201541166794324
320,-0.7770389881055605
321,-0.06667060720930362
322,-0.7858284060691114
323,-0.06912302246859038
324,-0.6313959499022702
325,-0.4405918577644986
326,-0.7650366469273686
327,-0.05204897906375174
328,-0.7712067779235595
329,-0.05712068129039861
330,-0.45183369098733644
331,-0.4293541716997947
332,-0.5969140894365367
333,-0.04081129299904773
334,-0.6030842204327276
335,-0.04343057996640785
336,-0.4381435896633457
337,-0.5941646477741815
338,-0.20114213416585247
339,-0.4292240170047997
340,-0.20376142113321255
341,-0.42308031174593935
342,-0.5906402294826815
343,-0.5597211667200326
344,-0.16669865311170345
345,-0.006237657249903681
346,-0.17548807107525444
347,-9.395199104348321e-05
348,-0.5623668794247234
349,-0.3801589078050987
350,-0.15469631193351163
351,0.008383970895648204
352,-0.16086644292970256
353,0.011908389187148313
354,-0.38280462050978953
355,-0.40831116738336487
356,-0.575871085120107
357,-0.019768288682617933
358,-0.5820412161162978
359,-0.02238757564997805
360,-0.4171005853469159
361,0.052431711959980455
362,-0.4974756730744766
363,-0.5828052589093317
364,-0.48738799539783606
365,-0.5914013794274786
366,0.05392326911847401
367,0.08906975099433916
368,-0.46083763404011785
369,-0.1328684265857478
370,-0.45731321574861783
371,-0.14146454710389478
372,0.08399804876769229
373,-0.6024795956009061
374,-0.5070623320894105
375,-0.189180802311681
376,-0.513625591474551
377,-0.18768924515318744
378,-0.607551297827553
379,-0.563089649957936
380,0.08223499858801667
381,-0.1497908566687108
382,0.07567173920287625
383,-0.1397031789920703
384,-0.5595652316664358
385,0.06753597822889626
386,-0.4823714068055608
387,-0.5677009926404158
388,-0.47228372912892025
389,-0.5762971131585629
390,0.0690275353873898
391,0.13861749831740397
392,-0.411289886717053
393,0.30522219943806395
394,-0.4139355994217439
395,0.296626078919917
396,0.1273756650945662
397,-0.5529318482778414
398,-0.45751458476634577
399,0.24890982371213077
400,-0.47024797514767713
401,0.2504013808706243
402,-0.5641736815006791
403,-0.5135419026348712
404,0.13178274591108147
405,0.28829976935510093
406,0.11904935552975016
407,0.2983874470317414
408,-0.516187615339562
409,0.12024064816725372
410,-0.42966673686720336
411,-0.10169752941283323
412,-0.42614231857570317
413,-0.11029364993098022
414,0.11516894594060686
415,0.15468412922140273
416,-0.39522325581305434
417,0.3212888303420627
418,-0.39786896851774517
419,0.3126927098239157
420,0.14344229599856495
421,-0.08692838505025874
422,-0.4113731742131287
423,0.3016144936504882
424,-0.41754330520931954
425,0.2965427914238413
426,-0.09817021827309651
427,-0.04753843940728854
428,0.17792415646429852
