class,omitted_source_block,remaining_groups,rank_spearman_vs_full,top10_jaccard_vs_full,maximum_primary_bridge_direction_change,primary_bridge_direction_sign_flips,sensitivity_definition,analysis_protocol_hash
S,RCB0031,70,0.9995771670190272,1.0,0.0067010760213455,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0032,70,0.9994362226920366,1.0,0.042206117373448,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0033,70,0.9995771670190272,1.0,0.0176702353678547,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0034,70,0.9995771670190272,1.0,0.0062773525969709,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0035,70,0.9998590556730091,1.0,0.0063298428206848,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0036,70,0.9998590556730091,1.0,0.0141082577430479,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0037,70,0.9997181113460184,1.0,0.0090251654856675,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0038,70,0.9992952783650456,1.0,0.0263811082794002,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0039,70,0.9992952783650456,1.0,0.0070101770040532,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0040,70,0.9995771670190272,1.0,0.0308857257924804,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0041,70,0.99830866807611,1.0,0.0052786403799656,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0042,70,0.9995771670190272,1.0,0.0285507041929086,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0043,70,0.9998590556730091,1.0,0.0069110314058262,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0045,70,0.9998590556730091,1.0,0.0145189980462486,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0046,70,0.9994362226920366,1.0,0.0168358425783893,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0047,70,0.9995771670190272,1.0,0.0168358425783893,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0048,70,0.9994362226920366,1.0,0.0056017262998279,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0049,70,0.9998590556730091,1.0,0.0200122944687785,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0050,70,0.9997181113460184,1.0,0.0198723205388747,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
