Record ID,Geological Group ID,Reference-connected block,reported_type,true_code,repeat_id,repeat_seed,outer_fold,valid_oof,abstain_reason,raw_P_I,raw_P_A,raw_P_S,calibrated_P_I,calibrated_P_A,calibrated_P_S,temperature,temperature_fitted,analysis_protocol_hash,effective_split_seed,split_seed_offset,SHAP::(La/Yb)N,SHAP::A/CNK,SHAP::A/NK,SHAP::Al2O3,SHAP::Ba,SHAP::CaO,SHAP::Ce,SHAP::Dy,SHAP::Er,SHAP::Eu,SHAP::Eu/Eu*,SHAP::Fe*,SHAP::Fe2O3,SHAP::FeO,SHAP::Ga,SHAP::Gd,SHAP::Hf,SHAP::Ho,SHAP::K2O,SHAP::K2O/Na2O,SHAP::La,SHAP::Lu,SHAP::MgO,SHAP::MnO,SHAP::Na2O,SHAP::Nb,SHAP::Nd,SHAP::P2O5,SHAP::Pr,SHAP::Rb,SHAP::Rb/Sr,SHAP::SiO2,SHAP::Sm,SHAP::Sr,SHAP::Ta,SHAP::Tb,SHAP::TiO2,SHAP::Tm,SHAP::Y,SHAP::Yb,SHAP::Zr,SHAP::Zr/Hf
R1682,GG0099,RCB0060,S,2,1,20269892,3,True,,0.26537013053894043,0.02727820910513401,0.7073516845703125,0.33381832518541454,0.09662475106687113,0.5695569237477144,1.835059817175885,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.0047879573,-0.027250886,-0.18051839,0.0038414863,-0.15227632,0.1083533,0.05409956,-0.010877445,-0.039553612,-0.026814012,-0.10919054,0.027706701,0.03315238,0.3107613,-0.022961386,0.0,0.011271753,-0.042932227,0.013223902,-0.009720305,0.03697919,-0.022016738,-0.034074847,0.018663133,0.013179626,0.0144027835,0.035311982,-0.10326908,0.12018034,-0.33680722,-0.013198886,-0.06889815,0.09176494,-0.049611233,0.14395854,0.0,-0.01010512,-0.03319089,0.12026543,0.016595677,-0.0038528373,-0.010130938
R1683,GG0099,RCB0060,S,2,1,20269892,3,True,,0.17078474164009094,0.03981894627213478,0.7893962860107422,0.2662891138571432,0.12043554180471347,0.6132753443381433,1.835059817175885,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.09783119,-0.04149411,0.13850445,-0.008840842,-0.1271901,-0.12744929,0.055425845,0.017173842,-0.029195625,-0.024154266,-0.061677303,0.021329738,-0.052353576,0.23905419,-0.10097412,0.0,0.005911618,-0.004828604,0.0074522975,-0.009393156,0.024325065,-0.016104775,-0.01972948,-0.036212344,-0.009133542,0.033416145,0.0010314193,-0.0845211,0.079198286,-0.661124,0.010907291,-0.08815635,0.120657116,-0.043584347,0.0889884,0.0,-0.0028054009,-0.012449747,0.13632227,0.019564917,-0.0038528373,-0.048948668
R1684,GG0099,RCB0060,S,2,1,20269892,3,True,,0.11334837973117828,0.05038905516266823,0.8362625241279602,0.21671531276332276,0.13932438451526963,0.6439603027214077,1.835059817175885,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.086061314,-0.0465967,-0.1555265,0.027913712,-0.12866804,-0.14469029,0.06542601,0.009530552,-0.039553612,-0.024154266,-0.05132159,0.010316475,-0.052353576,0.28465173,-0.034318686,0.0,0.019584887,-0.01975932,0.013223902,-0.059770584,0.045215223,-0.022016738,-0.008344198,-0.036212344,-0.0038328692,0.028681956,0.018100154,-0.058571607,0.05458837,-0.7279481,0.012460168,-0.08259957,0.09346262,-0.012796629,-0.11453905,0.0,-0.004370317,-0.033051766,0.09345951,0.010218535,-0.0038528373,0.009894524
R1685,GG0099,RCB0060,S,2,1,20269892,3,True,,0.3476116955280304,0.022951042279601097,0.629437267780304,0.38322391834485686,0.08714905707292328,0.5296270245822198,1.835059817175885,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.095351815,-0.01232183,-0.18051839,0.038161237,-0.18268986,-0.10106938,0.05409956,-0.021626154,-0.04299452,-0.024154266,-0.08289946,0.024339464,-0.022714943,0.35464206,-0.020823319,0.0,0.03757103,-0.029257573,0.01478939,-0.010347379,0.03697919,-0.022016738,-0.021685464,-0.002950245,-6.859517e-05,0.006991039,0.05538317,-0.09350113,0.07079552,0.27514592,-0.03267294,-0.07466615,0.15506192,-0.0319677,0.18578818,0.0,-0.01010512,-0.03319089,0.12026543,0.024505295,-0.0038528373,-0.030112065
R1686,GG0099,RCB0060,S,2,1,20269892,3,True,,0.129953533411026,0.03180500119924545,0.8382415175437927,0.2366262486751259,0.10988647801105242,0.6534872733138216,1.835059817175885,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.03549166,-0.027250886,-0.16887407,0.038161237,-0.15646453,-0.11989183,0.05409956,-0.010877445,-0.039553612,-0.024154266,-0.109190546,0.002401267,-0.0007452443,0.29177794,-0.103605606,0.0,0.011271753,-0.042932227,0.013223902,-0.007835347,0.023953367,-0.022016738,-0.022820663,-0.035571508,0.006261915,0.0480488,0.035311982,-0.0845211,0.022363035,-0.42754933,0.010966042,-0.07499913,0.094521314,-0.038936317,0.16859458,0.0,0.0042287894,-0.03319089,0.12026543,0.016595677,-0.0038528373,-0.021426842
R1746,GG0103,RCB0063,I,0,1,20269892,3,False,row_missingness_at_or_above_threshold,,,,,,,1.835059817175885,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1747,GG0103,RCB0063,I,0,1,20269892,3,False,row_missingness_at_or_above_threshold,,,,,,,1.835059817175885,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1748,GG0103,RCB0063,I,0,1,20269892,3,False,row_missingness_at_or_above_threshold,,,,,,,1.835059817175885,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1749,GG0103,RCB0063,I,0,1,20269892,3,False,row_missingness_at_or_above_threshold,,,,,,,1.835059817175885,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1750,GG0103,RCB0063,I,0,1,20269892,3,False,row_missingness_at_or_above_threshold,,,,,,,1.835059817175885,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
