scope,repeat_id,repeat_seed,effective_split_seed,split_seed_offset,outer_fold,probability_version,evaluation_unit,group_type_strata,source_blocks,n,macro_f1,balanced_accuracy,macro_ovr_auc,precision_I,recall_I,f1_I,support_I,precision_A,recall_A,f1_A,support_A,precision_S,recall_S,f1_S,support_S,analysis_protocol_hash
outer_fold,2,20260892,20260892.0,0.0,4,raw,geological_group_by_reported_type_stratum,15,14,15,0.4878306878306879,0.48148148148148145,0.7716049382716049,0.25,0.3333333333333333,0.2857142857142857,3,0.5,0.3333333333333333,0.4,3,0.7777777777777778,0.7777777777777778,0.7777777777777778,9,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,2,20260892,20260892.0,0.0,4,calibrated,geological_group_by_reported_type_stratum,15,14,15,0.4878306878306879,0.48148148148148145,0.7592592592592592,0.25,0.3333333333333333,0.2857142857142857,3,0.5,0.3333333333333333,0.4,3,0.7777777777777778,0.7777777777777778,0.7777777777777778,9,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,3,20260893,20260894.0,1.0,1,raw,geological_group_by_reported_type_stratum,7,7,7,0.30303030303030304,0.4166666666666667,0.75,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1.0,0.8333333333333334,0.9090909090909091,6,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,3,20260893,20260894.0,1.0,1,calibrated,geological_group_by_reported_type_stratum,7,7,7,0.26666666666666666,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1.0,0.6666666666666666,0.8,6,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,3,20260893,20260894.0,1.0,2,raw,geological_group_by_reported_type_stratum,15,14,15,0.546031746031746,0.6507936507936507,0.7025335775335776,0.5,0.6666666666666666,0.5714285714285714,6,0.5,1.0,0.6666666666666666,2,0.6666666666666666,0.2857142857142857,0.4,7,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,3,20260893,20260894.0,1.0,2,calibrated,geological_group_by_reported_type_stratum,15,14,15,0.5783549783549784,0.6507936507936507,0.7206111789445124,0.5,0.6666666666666666,0.5714285714285714,6,0.6666666666666666,1.0,0.8,2,0.5,0.2857142857142857,0.36363636363636365,7,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,3,20260893,20260894.0,1.0,3,raw,geological_group_by_reported_type_stratum,17,16,17,0.4646464646464647,0.48888888888888893,0.7879120879120879,0.0,0.0,0.0,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.6666666666666666,0.8,0.7272727272727273,10,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,3,20260893,20260894.0,1.0,3,calibrated,geological_group_by_reported_type_stratum,17,16,17,0.4646464646464647,0.48888888888888893,0.7879120879120879,0.0,0.0,0.0,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.6666666666666666,0.8,0.7272727272727273,10,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,3,20260893,20260894.0,1.0,4,raw,geological_group_by_reported_type_stratum,15,15,15,0.6309523809523809,0.6412698412698412,0.83494708994709,1.0,0.4,0.5714285714285714,5,0.5,0.6666666666666666,0.5714285714285714,3,0.6666666666666666,0.8571428571428571,0.75,7,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
outer_fold,3,20260893,20260894.0,1.0,4,calibrated,geological_group_by_reported_type_stratum,15,15,15,0.6309523809523809,0.6412698412698412,0.8216137566137567,1.0,0.4,0.5714285714285714,5,0.5,0.6666666666666666,0.5714285714285714,3,0.6666666666666666,0.8571428571428571,0.75,7,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
