Record ID,Geological Group ID,Reference-connected block,reported_type,true_code,repeat_id,repeat_seed,outer_fold,valid_oof,abstain_reason,raw_P_I,raw_P_A,raw_P_S,calibrated_P_I,calibrated_P_A,calibrated_P_S,temperature,temperature_fitted,analysis_protocol_hash,effective_split_seed,split_seed_offset,SHAP::(La/Yb)N,SHAP::A/CNK,SHAP::A/NK,SHAP::Al2O3,SHAP::Ba,SHAP::CaO,SHAP::Ce,SHAP::Dy,SHAP::Er,SHAP::Eu,SHAP::Eu/Eu*,SHAP::Fe*,SHAP::Fe2O3,SHAP::FeO,SHAP::Ga,SHAP::Gd,SHAP::Hf,SHAP::Ho,SHAP::K2O,SHAP::K2O/Na2O,SHAP::La,SHAP::Lu,SHAP::MgO,SHAP::MnO,SHAP::Na2O,SHAP::Nb,SHAP::Nd,SHAP::P2O5,SHAP::Pr,SHAP::Rb,SHAP::Rb/Sr,SHAP::SiO2,SHAP::Sm,SHAP::Sr,SHAP::Ta,SHAP::Tb,SHAP::TiO2,SHAP::Tm,SHAP::Y,SHAP::Yb,SHAP::Zr,SHAP::Zr/Hf
R0660,GG0035,RCB0028,S,2,1,20269892,1,True,,0.3137647807598114,0.5683411955833435,0.11789406836032867,0.3336187352252924,0.4882543353827404,0.17812692939196723,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.06131364,-0.10045352,-0.02453578,-0.050333716,0.049895197,0.16475567,-0.21982813,0.014229002,0.034578785,-0.09494765,-0.12128787,0.04315064,-0.15717664,-0.39295065,0.06769884,0.060513765,0.5157104,-0.037743144,-0.14392573,-0.012913864,-0.09043796,0.2177737,0.2807551,-0.011366259,-0.027165465,0.0048346557,0.009395296,0.024328437,0.0048761666,0.009861281,-0.053698678,-0.0067746574,-0.023312263,0.06613303,0.25146893,0.027757932,0.16867304,0.062480062,-0.068368495,0.05933979,-0.12941667,-0.013046157
R0661,GG0035,RCB0028,S,2,1,20269892,1,True,,0.3655966520309448,0.5195105671882629,0.11489277333021164,0.36646646037458186,0.4590440882551003,0.17448945137031782,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.06131364,-0.10045352,-0.027343566,-0.05135624,0.049895197,0.1345788,-0.22507685,0.014229002,0.034578785,-0.09494765,-0.12128787,0.09068854,-0.12806445,-0.37090182,0.05980242,-0.37141526,0.47975954,-0.037743144,-0.14408676,-0.012913864,0.020125281,0.22102688,0.30272105,-0.014234891,-0.0133481035,-0.0032659732,0.016334735,0.024328437,0.042705037,0.0067333616,-0.053698678,-0.0067746574,-0.03931779,0.06613303,0.26750568,0.007891259,0.16867304,0.062480062,-0.060579006,0.044790085,-0.1598714,-0.013046157
R0662,GG0035,RCB0028,S,2,1,20269892,1,True,,0.2582051157951355,0.6329793930053711,0.10881547629833221,0.29837372245929467,0.5301560502289221,0.17147022731178327,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.06470461,-0.10045352,-0.029012572,-0.05135624,0.049895197,0.16475567,-0.22777492,0.014229002,0.034578785,-0.09494765,-0.12128787,0.04315064,-0.13072243,-0.3781115,0.06769884,0.06155269,0.46463174,-0.037743144,-0.14211142,-0.012913864,0.0018551163,0.218258,0.3282112,-0.014234891,-0.0133481035,-0.003524091,0.009395296,0.024328437,0.04509283,0.005843087,-0.053698678,0.006186257,-0.023312263,0.06613303,0.24731576,0.027757932,0.16867304,0.062480062,-0.09211221,0.05933979,-0.12941667,-0.013046157
R0663,GG0035,RCB0028,S,2,1,20269892,1,True,,0.3633138835430145,0.5326851606369019,0.10400095582008362,0.36677023418795973,0.4687381732413633,0.16449159257067686,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.07378329,-0.10045352,-0.018484583,-0.05135624,0.0065500364,0.14212812,-0.21956182,0.014229002,0.034578785,-0.09494765,-0.12128787,0.10853416,-0.0053130873,-0.31601086,0.059433736,-0.37141526,0.51017326,-0.037743144,-0.14408676,-0.012913864,0.020125281,0.21071039,0.15357529,0.045911856,-0.016399104,0.008189883,0.010981813,0.024328437,0.03960363,0.0067333616,-0.053698678,-0.0067746574,-0.04491598,0.06613303,0.27981102,-0.019238794,0.17844906,0.062480062,-0.060579006,0.044790085,-0.1598714,-0.013046157
R0664,GG0035,RCB0028,S,2,1,20269892,1,True,,0.27560845017433167,0.5282620787620544,0.1961294710636139,0.30106212527840526,0.45686826213017795,0.24206961259141682,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.06470461,-0.07584691,-0.030924892,-0.045665715,0.04477932,0.14972323,-0.21548769,0.014229002,0.16648775,-0.09494765,-0.12128787,0.07700899,-0.13211122,-0.32030463,0.06643589,0.05051157,-0.10532364,-0.03555824,-0.14392573,-0.012913864,-0.03951279,0.31698242,0.30725375,-0.038087934,-0.0133481035,0.006577309,0.009395296,0.006278872,0.002471572,0.009861281,-0.033453602,0.006186257,-0.031216899,0.06037917,0.26023215,0.027757932,0.11392743,0.062480062,-0.068368495,0.14462008,-0.12941667,-0.013046157
R0665,GG0035,RCB0028,S,2,1,20269892,1,True,,0.24807503819465637,0.6411183476448059,0.11080662906169891,0.29116313621804013,0.5351545477378653,0.17368231604409456,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.06131364,-0.10045352,-0.027343566,-0.05135624,0.049895197,0.16475567,-0.21982813,0.014229002,0.034578785,-0.09494765,-0.12128787,0.09996247,-0.12806445,-0.3781115,0.062656306,0.0148671195,0.5065685,-0.037743144,-0.14211142,-0.012913864,-0.027417071,0.2177737,0.30478218,-0.014234891,-0.0133481035,0.0048346557,0.009395296,0.024328437,0.016740462,0.011206879,-0.053698678,-0.0067746574,-0.03931779,0.06613303,0.26644453,0.007891259,0.16867304,0.062480062,-0.09211221,0.044790085,-0.1598714,-0.013046157
R0666,GG0035,RCB0028,S,2,1,20269892,1,True,,0.24462249875068665,0.6438712477684021,0.11150623112916946,0.2886830735905351,0.5368573997079077,0.17445952670155718,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.06131364,-0.10045352,-0.025469866,-0.05135624,0.049895197,0.16475567,-0.21982813,0.014229002,0.034578785,-0.09494765,-0.12128787,0.04315064,-0.15717664,-0.39295065,0.06769884,0.06155269,0.5141301,-0.037743144,-0.14211142,-0.012913864,0.0018551163,0.2177737,0.33636475,-0.00014874712,-0.027165465,0.0048346557,0.009395296,0.024328437,0.016740462,0.011206879,-0.053698678,-0.0067746574,-0.023312263,0.06613303,0.25146893,-0.00382464,0.16867304,0.062480062,-0.09211221,0.05933979,-0.12941667,-0.013046157
R0667,GG0035,RCB0028,S,2,1,20269892,1,True,,0.2714310586452484,0.6110134124755859,0.11755552887916565,0.30607935606980047,0.5149162716375092,0.17900437229269023,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.06131364,-0.10045352,-0.025469866,-0.05135624,0.049895197,0.16475567,-0.21982813,0.014229002,0.034578785,-0.09494765,-0.12128787,0.04315064,-0.15717664,-0.39295065,0.06769884,0.06155269,0.5141301,-0.037743144,-0.14211142,-0.012913864,-0.039192513,0.2177737,0.33636475,-0.00014874712,-0.027165465,0.0048346557,0.009395296,0.024328437,0.016740462,0.011206879,-0.053698678,-0.0067746574,-0.023312263,0.06613303,0.25146893,-0.00382464,0.16867304,0.062480062,-0.09211221,0.05933979,-0.12941667,-0.013046157
R0668,GG0035,RCB0028,S,2,1,20269892,1,True,,0.3196676969528198,0.5523394346237183,0.1279928982257843,0.3360195802308267,0.47711175759518054,0.18686866217399276,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.059461866,-0.06922404,-0.02453578,-0.050333716,0.049895197,0.16475567,-0.21982813,0.014229002,0.034578785,-0.09494765,-0.12128787,0.037487887,-0.15717664,-0.39295065,0.06559295,0.060513765,0.51176715,-0.037743144,-0.14392573,-0.012913864,-0.09043796,0.20494045,0.29560074,-0.011366259,-0.027165465,0.0071089827,0.009395296,0.024328437,-0.09994481,0.009861281,-0.053698678,-0.0067746574,-0.023312263,0.06613303,0.25146893,-0.00382464,0.16867304,0.062480062,-0.068368495,0.05933979,-0.12941667,-0.013046157
R0669,GG0035,RCB0028,S,2,1,20269892,1,True,,0.3289952874183655,0.4615294635295868,0.2094752937555313,0.3343298609067492,0.4153523640662526,0.2503177750269983,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.06470461,-0.04461743,-0.030924892,-0.045665715,0.04477932,0.14972323,-0.21548769,0.014229002,0.16648775,-0.09494765,-0.12128787,0.024231205,-0.13211122,-0.32030463,0.064330004,0.05051157,-0.10926689,-0.03555824,-0.14392573,-0.012913864,-0.09075824,0.31617644,0.28322667,-0.038087934,-0.0133481035,0.006577309,0.009395296,0.006278872,-0.021902826,0.009861281,-0.033453602,0.006186257,-0.031216899,0.06037917,0.24525657,0.027757932,0.11392743,0.062480062,-0.068368495,0.14462008,-0.12941667,-0.013046157
R0670,GG0035,RCB0028,S,2,1,20269892,1,True,,0.2695523202419281,0.6220401525497437,0.10840748250484467,0.3060911789212359,0.52319867113362,0.1707101499451441,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.06131364,-0.10045352,-0.025469866,-0.05135624,0.049895197,0.16475567,-0.21982813,0.014229002,0.034578785,-0.09494765,-0.12128787,0.04315064,-0.15717664,-0.39295065,0.06769884,0.06155269,0.5141301,-0.037743144,-0.14211142,-0.012913864,0.0018551163,0.2177737,0.30478218,-0.00014874712,-0.027165465,0.0048346557,0.009395296,0.024328437,0.016740462,0.011206879,-0.053698678,-0.0067746574,-0.023312263,0.06613303,0.25146893,0.027757932,0.16867304,0.062480062,-0.09211221,0.05933979,-0.12941667,-0.013046157
R0671,GG0035,RCB0028,S,2,1,20269892,1,True,,0.3343762457370758,0.39637163281440735,0.26925215125083923,0.33494706209027714,0.3735331658218292,0.29151977208789365,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.06354909,0.00724745,-0.022842813,-0.047610827,0.054262415,0.11287283,-0.21727628,0.014229002,0.051892936,-0.09494765,-0.12305437,0.045447163,0.09417168,-0.0989408,0.046852026,-0.374231,0.46242714,-0.037743144,-0.121063575,-0.012913864,-0.10597894,0.19027768,0.17141223,0.041293148,-0.03375246,-0.29529434,-0.0044791345,0.024328437,-0.22439295,0.019965556,-0.053698678,-9.109825e-05,0.12384054,-0.014128171,0.26834422,0.044129558,0.13271669,0.062480062,-0.06009057,0.035784915,-0.13610312,-0.046577558
