class,partitions,pairwise_comparisons,median_rank_spearman,rank_spearman_q025,rank_spearman_q975,mean_top10_jaccard,minimum_top10_jaccard,analysis_protocol_hash
I,25,300,0.48867190933217863,0.2490343094261743,0.7005846638029203,0.42295741839859485,0.17647058823529413,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,25,300,0.5578605903733203,0.15488936911698836,0.7655792107569621,0.39736091365348336,0.05263157894736842,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,25,300,0.6158903018577672,0.42499370045656054,0.7690308684433399,0.6174447774447774,0.42857142857142855,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
