feature,records_with_values_in_both_tasks,median_absolute_difference,maximum_absolute_difference
Rb,1431,5.684341886080802e-14,1.3642420526593924e-12
CaO,1467,0.0,7.105427357601002e-15
Nb,1432,0.0,3.637978807091713e-12
Zr,1454,1.4210854715202004e-14,4.547473508864641e-13
P2O5,1455,0.0,1.1102230246251565e-16
Ba,1479,2.842170943040401e-14,9.094947017729282e-13
