comprehensive_rank,model,evaluation,evaluation_unit,score_type,n,macro_f1,balanced_accuracy,macro_ovr_auc,precision_I,recall_I,f1_I,support_I,precision_A,recall_A,f1_A,support_A,precision_S,recall_S,f1_S,support_S,record_n,record_macro_f1,record_balanced_accuracy,record_macro_ovr_auc,record_precision_I,record_recall_I,record_f1_I,record_support_I,record_precision_A,record_recall_A,record_f1_A,record_support_A,record_precision_S,record_recall_S,record_f1_S,record_support_S,analysis_protocol_hash,macro_f1_fold_mean,macro_f1_fold_sd,s_f1_fold_mean,s_f1_fold_sd,s_recall_fold_mean,s_recall_fold_sd,macro_f1_fold_wins,minimum_class_recall,minimum_class_f1,selection_score,within_primary_tolerance
1,XGBoost,development_nested_source_connected_outer_oof_group_type_strata,geological_group_by_reported_type_stratum,probability,54,0.6176301409260857,0.6222222222222222,0.790732826843938,0.5384615384615384,0.4666666666666667,0.5,15,0.6,0.6666666666666666,0.631578947368421,9,0.7096774193548387,0.7333333333333333,0.7213114754098361,30,1352,0.4825133798950425,0.5031161444874614,0.6992565399298263,0.31054131054131057,0.29380053908355797,0.30193905817174516,371,0.40654205607476634,0.554140127388535,0.46900269541778977,157,0.6925031766200762,0.6614077669902912,0.6765983860955928,824,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,0.5660154173312069,0.10967581473968309,0.7328947368421053,0.06195398614207136,0.8035714285714286,0.18471572201408212,1,0.4666666666666667,0.5,0.6176301409260857,True
2,MLP,development_nested_source_connected_outer_oof_group_type_strata,geological_group_by_reported_type_stratum,probability,54,0.6064671482628139,0.6074074074074073,0.7302785691674581,0.47368421052631576,0.6,0.5294117647058824,15,0.625,0.5555555555555556,0.5882352941176471,9,0.7407407407407407,0.6666666666666666,0.7017543859649122,30,1352,0.49610334066352957,0.4999985484758775,0.6146704436574041,0.35355648535564854,0.4555256064690027,0.39811542991755006,371,0.43506493506493504,0.4267515923566879,0.43086816720257237,157,0.7069444444444445,0.6177184466019418,0.6593264248704663,824,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,0.5611351611351612,0.13251419649008173,0.7135642135642135,0.10696962981258726,0.7470238095238095,0.215830247134713,1,0.5555555555555556,0.5294117647058824,0.6064671482628139,False
3,SVM,development_nested_source_connected_outer_oof_group_type_strata,geological_group_by_reported_type_stratum,normalized_decision_score,54,0.573369159576056,0.6037037037037037,0.7266500474833807,0.46153846153846156,0.4,0.42857142857142855,15,0.5384615384615384,0.7777777777777778,0.6363636363636364,9,0.6785714285714286,0.6333333333333333,0.6551724137931034,30,1352,0.4925618038205859,0.5210228475175159,0.7032674812651719,0.46984924623115576,0.5040431266846361,0.48634590377113135,371,0.25,0.45222929936305734,0.3219954648526077,157,0.746268656716418,0.6067961165048543,0.6693440428380187,824,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,0.5856349489863422,0.12272116418807791,0.6670238945780742,0.08909983651286549,0.6845238095238095,0.16333836588109812,2,0.4,0.42857142857142855,0.573369159576056,False
4,RF,development_nested_source_connected_outer_oof_group_type_strata,geological_group_by_reported_type_stratum,probability,54,0.5905856595511767,0.5814814814814814,0.7754708768597657,0.45,0.6,0.5142857142857142,15,0.6666666666666666,0.4444444444444444,0.5333333333333333,9,0.75,0.7,0.7241379310344828,30,1352,0.479059887155106,0.4906308771100507,0.6936029476384346,0.33418367346938777,0.353099730458221,0.34338138925294887,371,0.36923076923076925,0.4585987261146497,0.4090909090909091,157,0.7111111111111111,0.6601941747572816,0.6847073631214601,824,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,0.5448246198246198,0.10836098202287218,0.7097943722943723,0.06459930782294566,0.738095238095238,0.21428571428571427,0,0.4444444444444444,0.5142857142857142,0.5905856595511767,False
